ucr_code,primary_description,secondary_description
0100,homicide,homicide-crim
0101,homicide,murder-handgun
0102,homicide,murder-shotgun
0103,homicide,murder-rifle
0104,homicide,murder-knife
0105,homicide,murder-other
0108,homicide,manslaughter 1
0109,homicide,manslaughter 2
0200,sexual assault,rape
0201,sexual assault,sex asslt 1
0202,sexual assault,sex asslt 1gun
0211,sexual assault,sex asslt 1 attempt
0212,sexual assault,sex asslt 1 gun attempt
0300,robbery,robbery
0301,robbery,robbery-gun *street*
0302,robbery,robbery-knife *street*
0303,robbery,robbery-weapon*street*
0304,robbery,robbery-hands *street*
0311,robbery,robbery-gun *commer*
0312,robbery,robbery-knife *commer*
0313,robbery,robbery-weapon*commer*
0314,robbery,robbery-hands *commer*
0321,robbery,robbery-gun *gas st*
0322,robbery,robbery-knife *gas st*
0323,robbery,robbery-weapon*gas st*
0324,robbery,robbery-hands *gas st*
0331,robbery,robbery-gun *taxi*
0332,robbery,robbery-knife *taxi*
0333,robbery,robbery-weapon*taxi*
0334,robbery,robbery-hands *taxi*
0341,robbery,robbery-gun *resid*
0342,robbery,robbery-knife *resid*
0343,robbery,robbery-weapon*resid*
0344,robbery,robbery-hands *resid*
0345,robbery,robbery-invas *resid*
0351,robbery,robbery-gun *bank*
0352,robbery,robbery-knife *bank*
0353,robbery,robbery-weapon*bank*
0354,robbery,robbery-hands *bank*
0361,robbery,robbery-gun *all other
0362,robbery,robbery-knife*all other
0363,robbery,robbery-weapon*all othe
0364,robbery,robbery-hands*all other
0400,aggravated assault,asslts -felony
0401,aggravated assault,asslt-1-gun
0402,aggravated assault,asslt-1-knife
0403,aggravated assault,asslt-1-weapon
0404,aggravated assault,asslt-1-hands
0411,aggravated assault,asslt-2-gun
0412,aggravated assault,asslt-2-knife
0413,aggravated assault,asslt-2-weapon
0414,aggravated assault,asslt-2-hands
0415,aggravated assault,asslt-2-weapon threat
0421,aggravated assault,asslt-po-gun
0422,aggravated assault,asslt-po-knife
